PassengerId,Survived,Pclass,Name,Sex,Age,Title,IsMarried,SibSp,Parch,FamilySize,Fare,FareGroup,Cabin,Deck,Embarked,AgeGroup
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,Mrs,1,1,0,2,71.2833,Very High,C85,C,C,Adult
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,Mrs,1,1,0,2,53.1,Very High,C123,C,S,Young Adult
7,0,1,"McCarthy, Mr. Timothy J",male,54.0,Mr,0,0,0,1,51.8625,Very High,E46,E,S,Middle-aged
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,Miss,0,1,1,3,16.7,High,G6,G,S,Child
12,1,1,"Bonnell, Miss. Elizabeth",female,58.0,Miss,0,0,0,1,26.55,High,C103,C,S,Middle-aged
22,1,2,"Beesley, Mr. Lawrence",male,34.0,Mr,0,0,0,1,13.0,Medium,D56,D,S,Young Adult
24,1,1,"Sloper, Mr. William Thompson",male,28.0,Mr,0,0,0,1,35.5,Very High,A6,A,S,Young Adult
28,0,1,"Fortune, Mr. Charles Alexander",male,19.0,Mr,0,3,2,6,263.0,Very High,C23 C25 C27,C,S,Young Adult
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,Mrs,1,1,0,2,76.7292,Very High,D33,D,C,Adult
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,Mr,0,0,1,2,61.9792,Very High,B30,B,C,Middle-aged
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.0,Mr,0,1,0,2,83.475,Very High,C83,C,S,Adult
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,Mrs,1,0,0,1,10.5,Medium,F33,F,S,Young Adult
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.0,Mr,0,0,0,1,7.65,Low,F G73,F,S,Young Adult
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,Miss,0,3,2,6,263.0,Very High,C23 C25 C27,C,S,Young Adult
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,Mr,0,1,0,2,61.175,Very High,E31,E,S,Adult
97,0,1,"Goldschmidt, Mr. George B",male,71.0,Mr,0,0,0,1,34.6542,Very High,A5,A,C,Senior
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,Mr,0,0,1,2,63.3583,Very High,D10 D12,D,C,Young Adult
103,0,1,"White, Mr. Richard Frasar",male,21.0,Mr,0,0,1,2,77.2875,Very High,D26,D,S,Young Adult
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.0,Mr,0,0,0,1,52.0,Very High,C110,C,S,Adult
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.0,Mr,0,0,1,2,247.5208,Very High,B58 B60,B,C,Young Adult
124,1,2,"Webber, Miss. Susan",female,32.5,Miss,0,0,0,1,13.0,Medium,E101,E,S,Young Adult
125,0,1,"White, Mr. Percival Wayland",male,54.0,Mr,0,0,1,2,77.2875,Very High,D26,D,S,Middle-aged
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.0,Miss,0,0,2,3,26.2833,High,D47,D,S,Young Adult
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.0,Mr,0,1,0,2,53.1,Very High,C123,C,S,Adult
140,0,1,"Giglio, Mr. Victor",male,24.0,Mr,0,0,0,1,79.2,Very High,B86,B,C,Young Adult
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,Mr,0,0,2,3,26.0,High,F2,F,S,Adult
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,Mrs,1,1,0,2,66.6,Very High,C2,C,S,Young Adult
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.0,Mr,0,0,0,1,33.5,Very High,B19,B,S,Middle-aged
175,0,1,"Smith, Mr. James Clinch",male,56.0,Mr,0,0,0,1,30.6958,High,A7,A,C,Middle-aged
178,0,1,"Isham, Miss. Ann Elizabeth",female,50.0,Miss,0,0,0,1,28.7125,High,C49,C,C,Adult
184,1,2,"Becker, Master. Richard F",male,1.0,Master,0,2,1,4,39.0,Very High,F4,F,S,Infant
194,1,2,"Navratil, Master. Michel M",male,3.0,Master,0,1,1,3,26.0,High,F2,F,S,Child
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,Mrs,1,0,0,1,27.7208,High,B4,B,C,Adult
196,1,1,"Lurette, Miss. Elise",female,58.0,Miss,0,0,0,1,146.5208,Very High,B80,B,C,Middle-aged
206,0,3,"Strom, Miss. Telma Matilda",female,2.0,Miss,0,0,1,2,10.4625,Medium,G6,G,S,Infant
